Evaluation Accuracy (on Valid),Evaluation Accuracy (on Train),Classif. Accuracy (on Test),Incorrectly classified signs (on Test),Total signs (in Train set),Class Counts (Train set),Total signs (in Test set),Class Counts (Test set),Total signs (in Valid set),Class Counts (Valid set),Model info,Stratified 5-Fold,runtime
100.0%,100.0%,97.5309%,6,1424,"{2: 356, 1: 356, 3: 356, 0: 356}",243,"{0: 112, 3: 55, 1: 44, 2: 32}",356,"{2: 89, 1: 89, 0: 89, 3: 89}","{'method': 'croppedOnlyTransformedCNNModel', 'image_size': '40x40', 'channels': 1, 'epochs': 100, 'batch_size': 128, 'transform_type': 'dct2'}","5-Fold: ['100.0%', '100.0%', '100.0%', '100.0%', '100.0%'], Mean: 100.0%",Runtime is 310 sec
99.4382%,100.0%,98.7654%,3,1424,"{2: 356, 1: 356, 3: 356, 0: 356}",243,"{0: 112, 3: 55, 1: 44, 2: 32}",356,"{2: 89, 1: 89, 0: 89, 3: 89}","{'method': 'croppedOnlyTransformedCNNModel', 'image_size': '40x40', 'channels': 3, 'epochs': 100, 'batch_size': 128, 'transform_type': 'dct2'}","5-Fold: ['100.0%', '100.0%', '100.0%', '100.0%', '100.0%'], Mean: 100.0%",Runtime is 389 sec
99.4382%,100.0%,98.7654%,3,1424,"{2: 356, 1: 356, 3: 356, 0: 356}",243,"{0: 112, 3: 55, 1: 44, 2: 32}",356,"{2: 89, 1: 89, 0: 89, 3: 89}","{'method': 'croppedOnlyCNNModel', 'image_size': '40x40', 'channels': 1, 'epochs': 100, 'batch_size': 128, 'transform_type': None}","5-Fold: ['100.0%', '100.0%', '100.0%', '100.0%', '100.0%'], Mean: 100.0%",Runtime is 314 sec
99.7191%,100.0%,98.7654%,3,1424,"{2: 356, 1: 356, 3: 356, 0: 356}",243,"{0: 112, 3: 55, 1: 44, 2: 32}",356,"{2: 89, 1: 89, 0: 89, 3: 89}","{'method': 'croppedOnlyCNNModel', 'image_size': '40x40', 'channels': 3, 'epochs': 100, 'batch_size': 128, 'transform_type': None}","5-Fold: ['100.0%', '100.0%', '100.0%', '100.0%', '100.0%'], Mean: 100.0%",Runtime is 393 sec
98.9691%,100.0%,97.1193%,7,776,"{0: 356, 3: 175, 1: 140, 2: 105}",243,"{0: 112, 3: 55, 1: 44, 2: 32}",194,"{0: 89, 3: 44, 1: 35, 2: 26}","{'method': 'croppedOnlyTransformedCNNModel', 'image_size': '40x40', 'channels': 1, 'epochs': 100, 'batch_size': 128, 'transform_type': 'dct2'}","5-Fold: ['100.0%', '100.0%', '100.0%', '100.0%', '100.0%'], Mean: 100.0%",Runtime is 191 sec
100.0%,100.0%,98.3539%,4,776,"{0: 356, 3: 175, 1: 140, 2: 105}",243,"{0: 112, 3: 55, 1: 44, 2: 32}",194,"{0: 89, 3: 44, 1: 35, 2: 26}","{'method': 'croppedOnlyTransformedCNNModel', 'image_size': '40x40', 'channels': 3, 'epochs': 100, 'batch_size': 128, 'transform_type': 'dct2'}","5-Fold: ['100.0%', '100.0%', '100.0%', '100.0%', '100.0%'], Mean: 100.0%",Runtime is 240 sec
98.4536%,100.0%,97.9424%,5,776,"{0: 356, 3: 175, 1: 140, 2: 105}",243,"{0: 112, 3: 55, 1: 44, 2: 32}",194,"{0: 89, 3: 44, 1: 35, 2: 26}","{'method': 'croppedOnlyCNNModel', 'image_size': '40x40', 'channels': 1, 'epochs': 100, 'batch_size': 128, 'transform_type': None}","5-Fold: ['100.0%', '100.0%', '100.0%', '100.0%', '100.0%'], Mean: 100.0%",Runtime is 190 sec
98.9691%,100.0%,98.3539%,4,776,"{0: 356, 3: 175, 1: 140, 2: 105}",243,"{0: 112, 3: 55, 1: 44, 2: 32}",194,"{0: 89, 3: 44, 1: 35, 2: 26}","{'method': 'croppedOnlyCNNModel', 'image_size': '40x40', 'channels': 3, 'epochs': 100, 'batch_size': 128, 'transform_type': None}","5-Fold: ['100.0%', '100.0%', '100.0%', '100.0%', '100.0%'], Mean: 100.0%",Runtime is 232 sec
