Evaluation Accuracy (on Valid),Evaluation Accuracy (on Train),Classif. Accuracy (on Test),Incorrectly classified signs (on Test),Total signs (in Train set),Class Counts (Train set),Total signs (in Test set),Class Counts (Test set),Total signs (in Valid set),Class Counts (Valid set),Model info,Stratified 5-Fold,runtime
99.697%,100.0%,98.2143%,2,1320,"{999: 264, 15: 264, 10: 264, 16: 264, 9: 264}",112,"{999: 83, 10: 16, 9: 8, 15: 3, 16: 2}",330,"{9: 66, 15: 66, 16: 66, 999: 66, 10: 66}","{'method': 'croppedOnlyProhibitoryTransformedCNNModel', 'image_size': '40x40', 'channels': 1, 'epochs': 100, 'batch_size': 128, 'transform_type': 'dct2'}","5-Fold: ['100.0%', '100.0%', '100.0%', '100.0%', '100.0%'], Mean: 100.0%",Runtime is 269 sec
99.697%,100.0%,98.2143%,2,1320,"{999: 264, 15: 264, 10: 264, 16: 264, 9: 264}",112,"{999: 83, 10: 16, 9: 8, 15: 3, 16: 2}",330,"{9: 66, 15: 66, 16: 66, 999: 66, 10: 66}","{'method': 'croppedOnlyProhibitoryTransformedCNNModel', 'image_size': '40x40', 'channels': 3, 'epochs': 100, 'batch_size': 128, 'transform_type': 'dct2'}","5-Fold: ['100.0%', '100.0%', '100.0%', '100.0%', '100.0%'], Mean: 100.0%",Runtime is 338 sec
100.0%,100.0%,97.3214%,3,1320,"{999: 264, 15: 264, 10: 264, 16: 264, 9: 264}",112,"{999: 83, 10: 16, 9: 8, 15: 3, 16: 2}",330,"{9: 66, 15: 66, 16: 66, 999: 66, 10: 66}","{'method': 'croppedOnlyProhibitoryCNNModel', 'image_size': '40x40', 'channels': 1, 'epochs': 100, 'batch_size': 128, 'transform_type': None}","5-Fold: ['100.0%', '100.0%', '100.0%', '100.0%', '100.0%'], Mean: 100.0%",Runtime is 270 sec
100.0%,100.0%,97.3214%,3,1320,"{999: 264, 15: 264, 10: 264, 16: 264, 9: 264}",112,"{999: 83, 10: 16, 9: 8, 15: 3, 16: 2}",330,"{9: 66, 15: 66, 16: 66, 999: 66, 10: 66}","{'method': 'croppedOnlyProhibitoryCNNModel', 'image_size': '40x40', 'channels': 3, 'epochs': 100, 'batch_size': 128, 'transform_type': None}","5-Fold: ['100.0%', '100.0%', '100.0%', '100.0%', '100.0%'], Mean: 100.0%",Runtime is 338 sec
96.6292%,99.7191%,99.1071%,1,356,"{999: 264, 10: 51, 9: 26, 15: 10, 16: 5}",112,"{999: 83, 10: 16, 9: 8, 15: 3, 16: 2}",89,"{999: 66, 10: 13, 9: 7, 15: 2, 16: 1}","{'method': 'croppedOnlyProhibitoryTransformedCNNModel', 'image_size': '40x40', 'channels': 1, 'epochs': 100, 'batch_size': 128, 'transform_type': 'dct2'}","5-Fold: ['100.0%', '100.0%', '100.0%', '100.0%', '100.0%'], Mean: 100.0%",Runtime is 94 sec
96.6292%,100.0%,98.2143%,2,356,"{999: 264, 10: 51, 9: 26, 15: 10, 16: 5}",112,"{999: 83, 10: 16, 9: 8, 15: 3, 16: 2}",89,"{999: 66, 10: 13, 9: 7, 15: 2, 16: 1}","{'method': 'croppedOnlyProhibitoryTransformedCNNModel', 'image_size': '40x40', 'channels': 3, 'epochs': 100, 'batch_size': 128, 'transform_type': 'dct2'}","5-Fold: ['100.0%', '100.0%', '100.0%', '100.0%', '100.0%'], Mean: 100.0%",Runtime is 116 sec
98.8764%,100.0%,97.3214%,3,356,"{999: 264, 10: 51, 9: 26, 15: 10, 16: 5}",112,"{999: 83, 10: 16, 9: 8, 15: 3, 16: 2}",89,"{999: 66, 10: 13, 9: 7, 15: 2, 16: 1}","{'method': 'croppedOnlyProhibitoryCNNModel', 'image_size': '40x40', 'channels': 1, 'epochs': 100, 'batch_size': 128, 'transform_type': None}","5-Fold: ['100.0%', '100.0%', '100.0%', '100.0%', '100.0%'], Mean: 100.0%",Runtime is 91 sec
98.8764%,100.0%,97.3214%,3,356,"{999: 264, 10: 51, 9: 26, 15: 10, 16: 5}",112,"{999: 83, 10: 16, 9: 8, 15: 3, 16: 2}",89,"{999: 66, 10: 13, 9: 7, 15: 2, 16: 1}","{'method': 'croppedOnlyProhibitoryCNNModel', 'image_size': '40x40', 'channels': 3, 'epochs': 100, 'batch_size': 128, 'transform_type': None}","5-Fold: ['100.0%', '100.0%', '100.0%', '100.0%', '100.0%'], Mean: 100.0%",Runtime is 114 sec
