Evaluation Accuracy (on Valid),Evaluation Accuracy (on Train),Classif. Accuracy (on Test),Incorrectly classified signs (on Test),Total signs (in Train set),Class Counts (Train set),Total signs (in Test set),Class Counts (Test set),Total signs (in Valid set),Class Counts (Valid set),Model info,Runtime
94.2308%,100.0%,90.3614%,8,416,"{7: 52, 4: 52, 5: 52, 1: 52, 2: 52, 0: 52, 3: 52, 8: 52}",83,"{1: 16, 2: 16, 4: 14, 5: 11, 8: 11, 7: 8, 3: 6, 0: 1}",104,"{3: 13, 0: 13, 1: 13, 2: 13, 8: 13, 7: 13, 5: 13, 4: 13}","{'method': 'croppedOnlySpeedTransformedCNNModel', 'image_size': '40x40', 'channels': 1, 'epochs': 100, 'batch_size': 128, 'transform_type': 'dct2'}",Runtime is 22 sec
95.1923%,100.0%,89.1566%,9,416,"{7: 52, 4: 52, 5: 52, 1: 52, 2: 52, 0: 52, 3: 52, 8: 52}",83,"{1: 16, 2: 16, 4: 14, 5: 11, 8: 11, 7: 8, 3: 6, 0: 1}",104,"{3: 13, 0: 13, 1: 13, 2: 13, 8: 13, 7: 13, 5: 13, 4: 13}","{'method': 'croppedOnlySpeedTransformedCNNModel', 'image_size': '40x40', 'channels': 3, 'epochs': 100, 'batch_size': 128, 'transform_type': 'dct2'}",Runtime is 26 sec
98.0769%,100.0%,90.3614%,8,416,"{7: 52, 4: 52, 5: 52, 1: 52, 2: 52, 0: 52, 3: 52, 8: 52}",83,"{1: 16, 2: 16, 4: 14, 5: 11, 8: 11, 7: 8, 3: 6, 0: 1}",104,"{3: 13, 0: 13, 1: 13, 2: 13, 8: 13, 7: 13, 5: 13, 4: 13}","{'method': 'croppedOnlySpeedCNNModel', 'image_size': '40x40', 'channels': 1, 'epochs': 100, 'batch_size': 128, 'transform_type': None}",Runtime is 21 sec
98.0769%,100.0%,89.1566%,9,416,"{7: 52, 4: 52, 5: 52, 1: 52, 2: 52, 0: 52, 3: 52, 8: 52}",83,"{1: 16, 2: 16, 4: 14, 5: 11, 8: 11, 7: 8, 3: 6, 0: 1}",104,"{3: 13, 0: 13, 1: 13, 2: 13, 8: 13, 7: 13, 5: 13, 4: 13}","{'method': 'croppedOnlySpeedCNNModel', 'image_size': '40x40', 'channels': 3, 'epochs': 100, 'batch_size': 128, 'transform_type': None}",Runtime is 24 sec
84.8485%,96.2121%,86.747%,11,264,"{2: 52, 1: 51, 4: 43, 8: 37, 5: 34, 7: 26, 3: 19, 0: 2}",83,"{1: 16, 2: 16, 4: 14, 5: 11, 8: 11, 7: 8, 3: 6, 0: 1}",66,"{2: 13, 1: 12, 4: 11, 8: 9, 5: 8, 7: 7, 3: 5, 0: 1}","{'method': 'croppedOnlySpeedTransformedCNNModel', 'image_size': '40x40', 'channels': 1, 'epochs': 100, 'batch_size': 128, 'transform_type': 'dct2'}",Runtime is 15 sec
87.8788%,98.8636%,89.1566%,9,264,"{2: 52, 1: 51, 4: 43, 8: 37, 5: 34, 7: 26, 3: 19, 0: 2}",83,"{1: 16, 2: 16, 4: 14, 5: 11, 8: 11, 7: 8, 3: 6, 0: 1}",66,"{2: 13, 1: 12, 4: 11, 8: 9, 5: 8, 7: 7, 3: 5, 0: 1}","{'method': 'croppedOnlySpeedTransformedCNNModel', 'image_size': '40x40', 'channels': 3, 'epochs': 100, 'batch_size': 128, 'transform_type': 'dct2'}",Runtime is 18 sec
90.9091%,95.8333%,84.3373%,13,264,"{2: 52, 1: 51, 4: 43, 8: 37, 5: 34, 7: 26, 3: 19, 0: 2}",83,"{1: 16, 2: 16, 4: 14, 5: 11, 8: 11, 7: 8, 3: 6, 0: 1}",66,"{2: 13, 1: 12, 4: 11, 8: 9, 5: 8, 7: 7, 3: 5, 0: 1}","{'method': 'croppedOnlySpeedCNNModel', 'image_size': '40x40', 'channels': 1, 'epochs': 100, 'batch_size': 128, 'transform_type': None}",Runtime is 14 sec
90.9091%,99.6212%,85.5422%,12,264,"{2: 52, 1: 51, 4: 43, 8: 37, 5: 34, 7: 26, 3: 19, 0: 2}",83,"{1: 16, 2: 16, 4: 14, 5: 11, 8: 11, 7: 8, 3: 6, 0: 1}",66,"{2: 13, 1: 12, 4: 11, 8: 9, 5: 8, 7: 7, 3: 5, 0: 1}","{'method': 'croppedOnlySpeedCNNModel', 'image_size': '40x40', 'channels': 3, 'epochs': 100, 'batch_size': 128, 'transform_type': None}",Runtime is 17 sec
